iter	MultiClass
0	0.9879661134
1	0.9016078323
2	0.8332315209
3	0.7742957838
4	0.7280519847
5	0.6867053442
6	0.6529497931
7	0.6226761777
8	0.5964967925
9	0.5756852737
10	0.55418036
11	0.5368221386
12	0.5206305408
13	0.5066855964
14	0.4929582214
15	0.4789850066
16	0.4675365203
17	0.4563954794
18	0.4455915276
19	0.4358084905
20	0.4283745572
21	0.41919518
22	0.4099175722
23	0.403218724
24	0.3961885147
25	0.3890800434
26	0.3841087417
27	0.3786284541
28	0.3719777075
29	0.3667376774
30	0.3621965135
31	0.3568388879
32	0.351876877
33	0.3482555048
34	0.3442884823
35	0.3414226829
36	0.3365120794
37	0.3332915405
38	0.3299611135
39	0.3262520808
40	0.3233441882
41	0.3199836647
42	0.316803395
43	0.3134884745
44	0.3110173185
45	0.3081631751
46	0.3064425281
47	0.3033350964
48	0.3004635265
49	0.2974681575
50	0.2951688425
51	0.2930837855
52	0.2909208667
53	0.2886430679
54	0.2861365502
55	0.2836269361
56	0.2813110554
57	0.2794159971
58	0.2769833853
59	0.2749437875
60	0.2727461226
61	0.2710330622
62	0.2689873691
63	0.2666873887
64	0.2655350129
65	0.263977792
66	0.2610863874
67	0.2593275446
68	0.2579967481
69	0.2563200251
70	0.2552463428
71	0.2536895799
72	0.2522957124
73	0.250919547
74	0.2499301668
75	0.2483963597
76	0.2470643084
77	0.2459906959
78	0.2444590975
79	0.2433254521
80	0.241952007
81	0.2407415159
82	0.239766913
83	0.2375623108
84	0.2361690577
85	0.2349138226
86	0.2328777317
87	0.2315856087
88	0.2299355886
89	0.2285228892
90	0.227428672
91	0.2266078938
92	0.2247786086
93	0.2232946116
94	0.2225065715
95	0.2213650551
96	0.2204093154
97	0.2192757659
98	0.2183429519
99	0.2174576802
