iter	Passed	Remaining
0	220	21800
1	357	17538
2	493	15960
3	630	15130
4	763	14514
5	897	14068
6	1022	13581
7	1155	13290
8	1294	13084
9	1425	12830
10	1554	12577
11	1683	12342
12	1815	12148
13	1943	11940
14	2074	11752
15	2198	11539
16	2334	11399
17	2465	11231
18	2600	11084
19	2728	10912
20	2848	10716
21	2978	10559
22	3114	10426
23	3237	10250
24	3366	10100
25	3502	9969
26	3623	9796
27	3753	9652
28	3878	9495
29	4006	9348
30	4135	9204
31	4274	9082
32	4414	8963
33	4533	8801
34	4664	8662
35	4783	8503
36	4912	8365
37	5044	8229
38	5175	8094
39	5305	7958
40	5433	7818
41	5564	7684
42	5686	7538
43	5821	7409
44	5944	7265
45	6064	7118
46	6189	6979
47	6317	6844
48	6450	6713
49	6574	6574
50	6705	6442
51	6832	6307
52	6970	6181
53	7098	6046
54	7218	5906
55	7339	5766
56	7463	5630
57	7578	5488
58	7703	5353
59	7824	5216
60	7952	5084
61	8080	4952
62	8202	4817
63	8328	4684
64	8447	4548
65	8568	4413
66	8708	4289
67	8831	4156
68	8948	4020
69	9079	3891
70	9200	3757
71	9328	3627
72	9456	3497
73	9588	3369
74	9706	3235
75	9838	3106
76	9955	2973
77	10075	2841
78	10203	2712
79	10320	2580
80	10451	2451
81	10575	2321
82	10705	2192
83	10844	2065
84	10967	1935
85	11096	1806
86	11239	1679
87	11371	1550
88	11496	1420
89	11619	1291
90	11748	1161
91	11867	1031
92	11999	903
93	12135	774
94	12258	645
95	12375	515
96	12510	386
97	12640	257
98	12768	128
99	12886	0
